user_id,order_id
112108,1
79431,36
42756,38
17227,96
56463,98
125030,112
182389,170
98711,218
51011,226
156353,349
111860,393
200032,456
77529,473
184099,631
152953,719
41751,762
27650,774
27766,844
61911,878
47848,904
166117,915
310,988
47475,1001
164808,1032
16111,1042
173934,1077
80403,1086
129386,1119
119791,1120
34221,1139
79725,1143
127134,1145
10125,1275
176046,1280
158476,1318
171686,1325
96497,1335
156818,1342
71899,1350
163023,1468
102719,1571
135489,1572
94042,1579
188528,1591
137611,1597
157320,1620
77290,1674
145005,1682
142945,1703
178733,1721
152780,1764
30038,1851
7258,1865
2454,1890
146978,1955
134295,1983
7691,1994
124061,2011
14499,2021
102187,2029
102422,2068
108750,2087
45744,2115
21272,2191
181259,2216
34285,2318
132091,2389
167740,2415
124463,2442
816,2445
23856,2468
140155,2530
167470,2603
112827,2711
9636,2737
22201,2820
103659,2822
190554,2853
68146,2869
150785,2888
182107,2889
159042,2936
173120,2937
109929,2948
20433,2985
127342,3010
172092,3037
66177,3056
107976,3068
70577,3091
8242,3103
163806,3142
94991,3160
113534,3176
54174,3179
172185,3200
19636,3209
177129,3212
134917,3227
206024,3243
100682,3300
164301,3309
203008,3321
123426,3327
75490,3336
134766,3349
32789,3368
68007,3378
121772,3397
156616,3405
192743,3422
71778,3473
51956,3484
184303,3509
105928,3514
21515,3527
286,3529
109593,3533
6990,3563
4483,3649
605,3733
144433,3740
189074,3752
167703,3785
7172,3817
97381,3819
158868,3830
148593,3861
159534,3871
141651,3898
82113,3901
78126,3938
108416,3946
159235,3957
127392,3971
172135,3979
22622,4006
21721,4011
152943,4036
179095,4067
96792,4090
23057,4092
33740,4111
133280,4146
92382,4148
53847,4164
95044,4185
30091,4189
186124,4194
154864,4201
71669,4203
26430,4217
40150,4234
198530,4250
107978,4267
